"","primetype","primeval","targem","MORPH","AWRESP","AFCRESP","model","SOA","Participant","AWLEV"
"1",1,2,2,4,1.0188,2,9,2,1,1
"2",2,2,1,1,1.7887,1,10,1,1,1
"3",2,1,1,1,1.0188,1,2,2,1,1
"4",1,1,2,3,1.0423,1,10,2,1,1
"5",2,2,2,4,1.061,2,7,2,1,1
"6",2,2,1,1,3.9671,1,1,5,1,3
"7",2,1,1,2,3.9624,2,3,5,1,3
"8",2,2,1,2,1.0329,2,6,3,1,1
"9",1,1,2,3,1.3286,1,10,4,1,1
"10",2,1,1,2,3.9531,2,10,4,1,3
"11",1,1,2,4,1.108,1,2,4,1,1
"12",2,1,2,4,3.9765,2,10,4,1,3
"13",1,1,1,2,1.0704,1,10,4,1,1
"14",1,2,1,1,1.0845,1,5,5,1,1
"15",2,2,2,3,1.216,1,9,1,1,1
"16",1,2,1,2,1.0329,1,2,3,1,1
"17",2,1,2,3,1.1737,2,5,1,1,1
"18",1,1,2,4,1.1033,2,10,2,1,1
"19",1,2,2,3,1.1362,1,9,1,1,1
"20",1,2,1,2,1.2441,2,10,4,1,1
"21",1,2,2,3,1.4507,2,7,4,1,1
"22",1,2,2,3,1.3192,2,1,2,1,1
"23",1,1,2,4,1.1455,2,9,4,1,1
"24",1,1,1,1,1.3146,1,10,3,1,1
"25",2,1,2,3,3.9437,2,7,5,1,3
"26",2,1,2,4,3.9577,2,8,4,1,3
"27",2,2,2,3,2,2,8,3,1,1
"28",1,2,1,2,1.5915,2,4,5,1,1
"29",1,2,1,2,1.831,1,7,4,1,1
"30",2,2,2,4,3.9718,2,2,4,1,3
"31",1,1,2,3,1.1455,1,8,2,1,1
"32",1,1,1,2,1.1596,1,1,2,1,1
"33",2,1,1,1,3.9296,1,3,5,1,3
"34",2,2,1,2,1.338,1,1,2,1,1
"35",2,1,2,4,3.0939,2,1,5,1,3
"36",1,1,2,3,1.6197,1,9,3,1,1
"37",1,2,2,3,1.0704,2,8,1,1,1
"38",1,1,2,3,1.5446,2,4,2,1,1
"39",2,2,2,3,3.0892,2,10,3,1,3
"40",1,2,1,2,1.2676,1,1,2,1,1
"41",2,2,1,1,1.2113,1,5,2,1,1
"42",2,2,2,4,3.9249,2,4,4,1,3
"43",1,1,1,1,1.5915,1,8,5,1,1
"44",2,1,1,2,1.2911,2,9,1,1,1
"45",2,2,2,3,3.9765,2,2,5,1,3
"46",2,1,2,4,3.9671,2,5,5,1,3
"47",1,2,1,1,1.831,1,5,3,1,1
"48",2,1,2,3,1.1784,1,7,3,1,1
"49",1,2,2,3,1.6854,2,8,2,1,1
"50",1,2,2,4,3.2629,2,8,4,1,3
"51",1,2,2,4,2.7465,2,3,5,1,2
"52",2,2,1,2,3.9671,1,7,5,1,3
"53",1,2,1,1,2.2911,1,7,4,1,2
"54",1,2,2,3,3.6432,2,2,4,1,3
"55",1,1,1,1,1.1925,1,2,2,1,1
"56",1,1,2,4,1.2254,2,6,1,1,1
"57",1,2,2,3,2.216,2,10,4,1,2
"58",1,2,2,3,2.0329,2,4,3,1,2
"59",2,2,1,1,2.4977,1,6,5,1,2
"60",2,1,2,3,1.1502,2,3,2,1,1
"61",1,2,1,2,2.0141,2,8,4,1,2
"62",1,2,1,1,2.8122,1,3,4,1,2
"63",2,1,1,1,1.3427,1,6,1,1,1
"64",2,2,2,3,2.0798,2,8,1,1,2
"65",2,2,2,4,2.0141,2,9,5,1,2
"66",1,2,1,1,1.7465,2,10,4,1,1
"67",2,2,2,4,2.3991,2,6,3,1,2
"68",1,1,2,4,1.8732,1,2,3,1,1
"69",2,1,2,4,3.2019,2,2,3,1,3
"70",1,2,2,3,2.0798,1,3,4,1,2
"71",2,2,1,1,2.6995,1,9,3,1,2
"72",1,1,2,3,1.1033,2,3,4,1,1
"73",1,2,2,3,1.0751,1,9,2,1,1
"74",2,2,2,3,1.216,1,3,3,1,1
"75",2,1,2,4,1.3005,2,10,2,1,1
"76",2,2,1,1,1.7653,1,4,3,1,1
"77",2,1,1,2,1.0704,2,3,1,1,1
"78",1,1,1,1,1.1315,1,3,4,1,1
"79",1,1,2,3,1.0798,2,7,2,1,1
"80",2,1,2,4,3.9765,2,5,4,1,3
"81",1,1,1,1,1.7981,1,4,4,1,1
"82",2,1,1,1,2.2394,1,9,3,1,2
"83",2,1,2,4,3.9765,2,6,5,1,3
"84",1,1,2,3,2.6197,2,6,4,1,2
"85",1,2,1,2,1.8685,1,10,2,1,1
"86",2,2,1,1,2.0282,1,3,5,1,2
"87",2,1,2,3,3.9108,2,8,4,1,3
"88",1,2,2,3,2.0188,2,8,4,1,2
"89",2,2,2,3,3.0235,1,4,4,1,3
"90",2,2,1,1,3.9765,1,6,4,1,3
"91",1,2,2,3,2.23,2,1,4,1,2
"92",1,2,2,3,2.1878,2,1,3,1,2
"93",2,2,1,2,2.507,2,6,2,1,2
"94",2,2,1,1,3.2019,1,8,5,1,3
"95",1,1,1,2,2.0516,1,10,3,1,2
"96",2,1,2,4,3.446,2,2,2,1,3
"97",2,2,1,2,3.5399,1,6,4,1,3
"98",1,2,2,3,3.1549,2,5,4,1,3
"99",1,2,1,2,1.5915,1,1,1,1,1
"100",1,1,1,2,2.0376,1,4,3,1,2
"101",1,2,1,2,1.7512,2,2,4,1,1
"102",1,2,2,4,1.0282,2,9,1,1,1
"103",1,1,1,1,1.6385,1,4,2,1,1
"104",2,1,2,4,1.6432,2,6,2,1,1
"105",1,2,2,4,1.7606,2,2,4,1,1
"106",1,2,2,3,1.0423,2,7,1,1,1
"107",2,2,2,3,2.0563,2,3,4,1,2
"108",1,1,2,3,1.8404,2,7,4,1,1
"109",1,2,1,1,1.0751,1,8,1,1,1
"110",1,1,2,4,2.0282,2,8,4,1,2
"111",2,1,1,2,2.0657,2,5,3,1,2
"112",2,2,2,3,3.6197,2,1,4,1,3
"113",1,1,1,1,1.1174,1,3,3,1,1
"114",1,1,1,2,1.0423,1,10,2,1,1
"115",2,2,2,3,3.0376,2,2,3,1,3
"116",1,2,2,4,2.0516,2,9,3,1,2
"117",1,2,1,1,2,1,6,3,1,1
"118",2,2,1,2,2.493,2,10,5,1,2
"119",2,1,1,1,3.0845,1,1,4,1,3
"120",1,1,2,3,2.8451,2,5,3,1,2
"121",1,2,2,3,1.0892,2,2,1,1,1
"122",1,2,2,4,1.446,2,10,4,1,1
"123",1,1,2,3,1.0845,2,1,1,1,1
"124",1,2,2,4,2.0516,2,8,5,1,2
